task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
363613,Amazon_employee_access,0,26215,6554,9,2,7.543706983999755,"OutOfMemoryError: CUDA out of memory. Tried to allocate 30.72 GiB. GPU 0 has a total capacity of 14.56 GiB of which 13.61 GiB is free. Including non-PyTorch memory, this process has 976.00 MiB memory in use. Of the allocated memory 757.82 MiB is allocated by PyTorch, and 90.18 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363614,anneal,0,718,180,38,5,0.6770125879997977,,0.9999320998132746,0.9833333333333333,0.03643012649075336
363616,APSFailure,0,60800,15200,170,2,1.9174065769998379,"OutOfMemoryError: CUDA out of memory. Tried to allocate 14.69 GiB. GPU 0 has a total capacity of 14.56 GiB of which 14.03 GiB is free. Including non-PyTorch memory, this process has 544.00 MiB memory in use. Of the allocated memory 258.54 MiB is allocated by PyTorch, and 157.46 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363618,bank-marketing,0,36168,9043,13,2,0.7167933750001794,"OutOfMemoryError: CUDA out of memory. Tried to allocate 58.48 GiB. GPU 0 has a total capacity of 14.56 GiB of which 12.96 GiB is free. Including non-PyTorch memory, this process has 1.60 GiB memory in use. Of the allocated memory 1.32 GiB is allocated by PyTorch, and 155.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363619,Bank_Customer_Churn,0,8000,2000,10,2,64.49476555000001,,0.846040185023236,0.862,0.3530461356225292
363620,Bioresponse,0,3000,751,1776,2,1.9588123199996517,"OutOfMemoryError: CUDA out of memory. Tried to allocate 27.57 GiB. GPU 0 has a total capacity of 14.56 GiB of which 4.78 GiB is free. Including non-PyTorch memory, this process has 9.78 GiB memory in use. Of the allocated memory 9.48 GiB is allocated by PyTorch, and 177.80 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363621,blood-transfusion-service-center,0,598,150,4,2,0.2229730760000166,,0.7648635477582846,0.7866666666666666,0.46574630792092536
363623,churn,0,4000,1000,19,2,19.00641373999997,,0.8960278734137501,0.931,0.2219057862996743
363624,coil2000_insurance_policies,0,7857,1965,85,2,0.7490695729998151,"OutOfMemoryError: CUDA out of memory. Tried to allocate 15.18 GiB. GPU 0 has a total capacity of 14.56 GiB of which 8.76 GiB is free. Including non-PyTorch memory, this process has 5.80 GiB memory in use. Of the allocated memory 1.75 GiB is allocated by PyTorch, and 3.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363626,credit-g,0,800,200,20,2,0.5345299659998091,,0.754404761904762,0.74,0.5222600409313495
363627,credit_card_clients_default,0,24000,6000,23,2,0.6978959650000434,"OutOfMemoryError: CUDA out of memory. Tried to allocate 38.62 GiB. GPU 0 has a total capacity of 14.56 GiB of which 12.73 GiB is free. Including non-PyTorch memory, this process has 1.83 GiB memory in use. Of the allocated memory 1.47 GiB is allocated by PyTorch, and 241.15 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363629,diabetes,0,614,154,8,2,0.25875681599973177,,0.857037037037037,0.7532467532467533,0.4598462028270648
363630,Diabetes130US,0,57214,14304,47,2,4.83217532100025,"OutOfMemoryError: CUDA out of memory. Tried to allocate 512.17 GiB. GPU 0 has a total capacity of 14.56 GiB of which 5.57 GiB is free. Including non-PyTorch memory, this process has 8.99 GiB memory in use. Of the allocated memory 7.58 GiB is allocated by PyTorch, and 1.29 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
363632,E-CommereShippingData,0,8799,2200,10,2,121.42126392799992,,0.742703912226276,0.6809090909090909,0.5102730030068877
363671,Fitness_Club,0,1200,300,6,2,0.5551532439999391,,0.8113465481886535,0.7666666666666667,0.4803849236397845
363674,hazelnut-spread-contaminant-detection,0,1920,480,30,2,4.12631631100021,,0.9628645833333332,0.9104166666666667,0.2547397425998881
363676,heloc,0,8367,2092,23,2,227.18619019800008,,0.7936909340659339,0.7146271510516252,0.5533915581265687
