task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
3,kr-vs-kp,0,2556,640,36,2,0.0006487680002464913,ValueError: could not convert string to float: 'f',,,
6,letter,0,10000,4000,16,26,54.46158465000008,,0.9999515255828784,0.986,0.0410218316592594
11,balance-scale,0,500,125,4,3,1.0134886029991321,,1.0,1.0,0.023323486962340816
12,mfeat-factors,0,1600,400,216,10,8.424193048000234,,0.999388888888889,0.98,0.0992652577175414
14,mfeat-fourier,0,1600,400,76,10,7.719165022999732,,0.9951319444444445,0.9225,0.20574986890354083
15,breast-w,0,559,140,9,2,2.0821292199998425,,0.9923007246376812,0.9642857142857143,0.11594793749692321
16,mfeat-karhunen,0,1600,400,64,10,7.898828194000089,,0.9997083333333334,0.975,0.09191575088039931
18,mfeat-morphological,0,1600,400,6,10,5.198070585000096,,0.9739166666666665,0.7775,0.4941280040928341
22,mfeat-zernike,0,1600,400,47,10,7.001141353999628,,0.9923611111111112,0.9,0.22255582062535573
23,cmc,0,1178,295,9,3,3.1253070010006923,,0.7682002194958985,0.5932203389830508,0.8690311310541563
28,optdigits,0,4496,1124,64,10,14.903362801000185,,0.9999788384031383,0.99644128113879,0.01201839809434156
29,credit-approval,0,552,138,15,2,0.0004726229999505449,ValueError: could not convert string to float: 'b',,,
31,credit-g,0,800,200,20,2,0.00046963500062702224,ValueError: could not convert string to float: 'no checking',,,
32,pendigits,0,8793,2199,16,10,29.18516653900042,,0.9998549684879308,0.9972714870395635,0.011873360803153382
37,diabetes,0,614,154,8,2,2.5702804920001654,,0.8162962962962963,0.7142857142857143,0.5013201856851809
43,spambase,0,3680,921,57,2,12.811515752999185,,0.9919626371239275,0.9609120521172638,0.11294646596193485
45,splice,0,2552,638,60,3,0.0004994900009478442,ValueError: could not convert string to float: 'G',,,
49,tic-tac-toe,0,766,192,9,2,0.0004465040001377929,ValueError: could not convert string to float: 'x',,,
53,vehicle,0,676,170,18,4,3.0079533879998053,,0.9685569421897546,0.8529411764705882,0.2887823643587088
219,electricity,0,10000,9063,8,2,115.71926778700072,,0.9457467913004826,0.8722277391592188,0.2957455090169005
2074,satimage,0,5144,1286,36,6,19.854183465999085,,0.9960087385629746,0.9401244167962675,0.14259077825819885
2079,eucalyptus,0,588,148,19,5,0.00045869399946241174,ValueError: could not convert string to float: 'K81',,,
3021,sick,0,3017,755,29,2,0.0005124300005263649,ValueError: could not convert string to float: 'M',,,
3022,vowel,0,792,198,12,11,0.00048319000052288175,ValueError: could not convert string to float: 'David',,,
3481,isolet,0,6237,1560,617,26,67.67183991999991,,0.99941452991453,0.958974358974359,0.12901985332764573
3549,analcatdata_authorship,0,672,169,70,4,2.8259575350002706,,1.0,1.0,0.0003932264580629398
3560,analcatdata_dmft,0,637,160,4,6,0.0004370360002212692,ValueError: could not convert string to float: 'Male',,,
3573,mnist_784,0,10000,14000,784,10,539.7611555509993,,0.999714514636078,0.9810714285714286,0.059238123686396624
3902,pc4,0,1166,292,37,2,4.088394664999214,,0.9632161458333333,0.910958904109589,0.18481208709107622
3903,pc3,0,1250,313,37,2,4.476406304000193,,0.845251334519573,0.9073482428115016,0.25383775769051997
3904,jm1,0,8708,2177,21,2,33.0785495529999,,0.7612873946942684,0.8167202572347267,0.4264134776365582
3913,kc2,0,417,105,21,2,1.1745029850007995,,0.7677984665936474,0.8285714285714286,0.46913201709702124
3917,kc1,0,1687,422,21,2,4.802865031000692,,0.8528118939883647,0.8696682464454977,0.30754096569345674
3918,pc1,0,887,222,21,2,2.6758661399999255,,0.8980676328502416,0.9459459459459459,0.15463858742627185
7592,adult,0,10000,9769,14,2,0.0005848920009157155,ValueError: could not convert string to float: 'Private',,,
9910,Bioresponse,0,3000,751,1776,2,2.386739708001187,"NeuralkException: ('{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 1776 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""3463b236-99ec-4865-a26c-be38bfab34d2""}}}', <HTTPStatus.BAD_REQUEST: 400>, '{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 1776 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""3463b236-99ec-4865-a26c-be38bfab34d2""}}}')",,,
9946,wdbc,0,455,114,30,2,1.3276224479996017,,0.9975198412698412,0.9824561403508771,0.048638193138276026
9952,phoneme,0,4323,1081,5,2,12.7849247260001,,0.9671123259616496,0.9093432007400555,0.214599752561341
9957,qsar-biodeg,0,844,211,41,2,2.7903929879994394,,0.9439134808853119,0.8815165876777251,0.2788502362856403
9960,wall-robot-navigation,0,4364,1092,24,4,16.09859536499971,,0.9998914459794634,0.9926739926739927,0.019962132157745886
9964,semeion,0,1274,319,256,10,4.501955807998456,,0.9992154034443571,0.9561128526645768,0.112431829593934
9971,ilpd,0,466,117,10,2,0.00041485499968985096,ValueError: could not convert string to float: 'Female',,,
9976,madelon,0,2080,520,500,2,13.628773092999836,,0.9628328402366865,0.9019230769230769,0.25358211300413425
9977,nomao,0,10000,6893,118,2,126.16246093799964,,0.9949250445264723,0.9679384883214855,0.08418118907486934
9978,ozone-level-8hr,0,2027,507,72,2,7.063845905000562,,0.9424013157894737,0.9585798816568047,0.12088522946551108
9981,cnae-9,0,864,216,856,9,3.5893523280010413,,0.9948881172839508,0.9074074074074074,0.23975695684829645
9985,first-order-theorem-proving,0,4894,1224,51,6,18.823271170000226,,0.8582092343880903,0.6511437908496732,1.0272666433718185
10093,banknote-authentication,0,1097,275,4,2,3.905341484998644,,1.0,1.0,3.62694811437279e-06
10101,blood-transfusion-service-center,0,598,150,4,2,2.02204677500049,,0.7955653021442495,0.7866666666666666,0.4476624480348973
14952,PhishingWebsites,0,8844,2211,30,2,28.52058159400076,,0.9986898821266932,0.9787426503844414,0.046711639588920446
14954,cylinder-bands,0,432,108,37,2,0.0004706370000349125,ValueError: could not convert string to float: 'target',,,
14965,bank-marketing,0,10000,9043,16,2,0.0005550410005525919,ValueError: could not convert string to float: 'technician',,,
14969,GesturePhaseSegmentationProcessed,0,7898,1975,32,5,34.86038179299976,,0.957211252848331,0.8091139240506329,0.5441197044822229
