task_id,task_name,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std
6,letter,0.9999515255828784,,0.986,,0.0410218316592594,
11,balance-scale,1.0,,1.0,,0.023323486962340816,
12,mfeat-factors,0.999388888888889,,0.98,,0.0992652577175414,
14,mfeat-fourier,0.9951319444444445,,0.9225,,0.20574986890354083,
15,breast-w,0.9923007246376812,,0.9642857142857143,,0.11594793749692321,
16,mfeat-karhunen,0.9997083333333334,,0.975,,0.09191575088039931,
18,mfeat-morphological,0.9739166666666665,,0.7775,,0.4941280040928341,
22,mfeat-zernike,0.9923611111111112,,0.9,,0.22255582062535573,
23,cmc,0.7682002194958985,,0.5932203389830508,,0.8690311310541563,
28,optdigits,0.9999788384031383,,0.99644128113879,,0.01201839809434156,
32,pendigits,0.9998549684879308,,0.9972714870395635,,0.011873360803153382,
37,diabetes,0.8162962962962963,,0.7142857142857143,,0.5013201856851809,
43,spambase,0.9919626371239275,,0.9609120521172638,,0.11294646596193485,
53,vehicle,0.9685569421897546,,0.8529411764705882,,0.2887823643587088,
219,electricity,0.9457467913004826,,0.8722277391592188,,0.2957455090169005,
2074,satimage,0.9960087385629746,,0.9401244167962675,,0.14259077825819885,
3481,isolet,0.99941452991453,,0.958974358974359,,0.12901985332764573,
3549,analcatdata_authorship,1.0,,1.0,,0.0003932264580629398,
3573,mnist_784,0.999714514636078,,0.9810714285714286,,0.059238123686396624,
3902,pc4,0.9632161458333333,,0.910958904109589,,0.18481208709107622,
3903,pc3,0.845251334519573,,0.9073482428115016,,0.25383775769051997,
3904,jm1,0.7612873946942684,,0.8167202572347267,,0.4264134776365582,
3913,kc2,0.7677984665936474,,0.8285714285714286,,0.46913201709702124,
3917,kc1,0.8528118939883647,,0.8696682464454977,,0.30754096569345674,
3918,pc1,0.8980676328502416,,0.9459459459459459,,0.15463858742627185,
9946,wdbc,0.9975198412698412,,0.9824561403508771,,0.048638193138276026,
9952,phoneme,0.9671123259616496,,0.9093432007400555,,0.214599752561341,
9957,qsar-biodeg,0.9439134808853119,,0.8815165876777251,,0.2788502362856403,
9960,wall-robot-navigation,0.9998914459794634,,0.9926739926739927,,0.019962132157745886,
9964,semeion,0.9992154034443571,,0.9561128526645768,,0.112431829593934,
9976,madelon,0.9628328402366865,,0.9019230769230769,,0.25358211300413425,
9977,nomao,0.9949250445264723,,0.9679384883214855,,0.08418118907486934,
9978,ozone-level-8hr,0.9424013157894737,,0.9585798816568047,,0.12088522946551108,
9981,cnae-9,0.9948881172839508,,0.9074074074074074,,0.23975695684829645,
9985,first-order-theorem-proving,0.8582092343880903,,0.6511437908496732,,1.0272666433718185,
10093,banknote-authentication,1.0,,1.0,,3.62694811437279e-06,
10101,blood-transfusion-service-center,0.7955653021442495,,0.7866666666666666,,0.4476624480348973,
14952,PhishingWebsites,0.9986898821266932,,0.9787426503844414,,0.046711639588920446,
14969,GesturePhaseSegmentationProcessed,0.957211252848331,,0.8091139240506329,,0.5441197044822229,
14970,har,0.9999812650670373,,0.996116504854369,,0.009723422152947584,
125922,texture,1.0,,1.0,,9.684504187466148e-05,
146195,connect-4,0.9021907307607447,,0.8148312611012434,,0.46207436998859913,
146800,MiceProtein,1.0,,1.0,,4.85289480818263e-06,
146817,steel-plates-fault,0.9726725786863347,,0.8046272493573264,,0.4756604908426866,
146819,climate-model-simulation-crashes,0.9001122334455668,,0.9537037037037037,,0.16801844993578197,
146820,wilt,0.9979425596237823,,0.9907024793388429,,0.02591106926842562,
146822,segment,0.9974310201582931,,0.961038961038961,,0.13478399642310146,
146824,mfeat-pixel,0.9992986111111112,,0.97,,0.14950110807068118,
146825,Fashion-MNIST,0.9914985487528346,,0.8882142857142857,,0.3027244387101292,
167119,jungle_chess_2pcs_raw_endgame_complete,0.9760283702995323,,0.8676929941990182,,0.24655890129771801,
167120,numerai28.6,0.5229749125061942,,0.5181166943521595,,0.6927465201120874,
167140,dna,0.9981416590148703,,0.9733542319749217,,0.07782588883643646,
167141,churn,0.9290821423558648,,0.965,,0.12781767904355482,
