task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
11,balance-scale,0,500,125,4,3,0.24975929600032032,,0.8389763035553215,0.864,0.7977467966012767
12,mfeat-factors,0,1600,400,216,10,2.218354268999974,,0.62,0.195,8.808381662676235
14,mfeat-fourier,0,1600,400,76,10,0.8285763440003393,,0.6103854166666667,0.19,8.791543524300613
15,breast-w,0,559,140,9,2,0.08790395400001216,,0.9911684782608696,0.8857142857142857,0.33837247542558896
16,mfeat-karhunen,0,1600,400,64,10,0.7148107779999009,,0.6618125,0.195,8.848760213812781
18,mfeat-morphological,0,1600,400,6,10,0.17189641400000255,,0.6575347222222222,0.1875,8.411701347668407
22,mfeat-zernike,0,1600,400,47,10,0.5823321890002262,,0.6107013888888889,0.1875,8.806814282844122
23,cmc,0,1178,295,9,3,0.15248138099968855,,0.6901590565883126,0.4271186440677966,1.0474150841888923
28,optdigits,0,4496,1124,64,10,7.5590449530000114,,0.6014169848520294,0.18861209964412812,8.877945872735715
32,pendigits,0,8793,2199,16,10,15.72602111499964,,0.599116992631336,0.26875852660300137,8.624520039391719
37,diabetes,0,614,154,8,2,0.0794847489996755,,0.7794444444444444,0.6493506493506493,0.5929159053821954
43,spambase,0,3680,921,57,2,4.396193528999902,,0.938120204982375,0.6058631921824105,0.6218675751605348
53,vehicle,0,676,170,18,4,0.10040248300038002,,0.6329606938200688,0.3352941176470588,3.6792752388167616
219,electricity,0,10000,9063,8,2,44.80685579500005,,0.7770801233049555,0.6386406267240428,0.6328672842155038
2074,satimage,0,5144,1286,36,6,7.224125927000387,,0.7540127205725676,0.5186625194401244,5.59697683688302
3549,analcatdata_authorship,0,672,169,70,4,0.18227774300021338,,0.8842587827668534,0.6863905325443787,3.235332294445395
