task_id,task_name,n_rows,n_features,n_classes,baseline_roc_auc_mean,baseline_accuracy_mean,seldon_roc_auc_mean,seldon_accuracy_mean,mynanotabpfn_roc_auc_mean,mynanotabpfn_accuracy_mean,osnanotabpfn_roc_auc_mean,osnanotabpfn_accuracy_mean
11,balance-scale,625,4,3,0.7137827676738161,0.464,1.0,1.0,0.8389763035553215,0.864,1.0,1.0
12,mfeat-factors,2000,216,10,0.5220416666666667,0.1,0.999388888888889,0.98,0.62,0.195,0.9947569444444444,0.9375
14,mfeat-fourier,2000,76,10,0.5662569444444445,0.1,0.9951319444444445,0.9225,0.6103854166666667,0.19,0.9794305555555557,0.8275
15,breast-w,699,9,2,0.9938858695652173,0.8928571428571429,0.9923007246376812,0.9642857142857143,0.9911684782608696,0.8857142857142857,0.9943387681159421,0.9571428571428572
16,mfeat-karhunen,2000,64,10,0.4626180555555556,0.1,0.9997083333333334,0.975,0.6618125,0.195,0.9910277777777777,0.905
18,mfeat-morphological,2000,6,10,0.5905069444444445,0.1,0.9739166666666665,0.7775,0.6575347222222222,0.1875,0.9643958333333333,0.715
22,mfeat-zernike,2000,47,10,0.5262291666666667,0.1,0.9923611111111112,0.9,0.6107013888888889,0.1875,0.9615763888888891,0.715
23,cmc,1473,9,3,0.6662182876992341,0.4271186440677966,0.7682002194958985,0.5932203389830508,0.6901590565883126,0.4271186440677966,0.7582530313717747,0.5830508474576271
28,optdigits,5620,64,10,0.5195901768681235,0.09875444839857651,0.9999788384031383,0.99644128113879,0.6014169848520294,0.18861209964412812,0.9958675320834111,0.9128113879003559
32,pendigits,10992,16,10,0.5901083952306743,0.10413824465666212,0.9998549684879308,0.9972714870395635,0.599116992631336,0.26875852660300137,0.9951436849060779,0.9072305593451568
37,diabetes,768,8,2,0.7381481481481481,0.6493506493506493,0.8162962962962963,0.7142857142857143,0.7794444444444444,0.6493506493506493,0.8205555555555557,0.7597402597402597
